ticker,caps_count,lower_count,caps_share,zipf,decided_by,classification
AGCO,0,0,,1.7,wordfreq,normal
AGEM,0,0,,0.0,wordfreq,normal
AGEN,10,1,0.909,2.46,wordfreq,normal
AGGA,0,0,,1.2,wordfreq,normal
AGGH,0,0,,0.0,wordfreq,normal
AGGS,0,0,,1.15,wordfreq,normal
AGGY,0,0,,1.77,wordfreq,normal
AGIG,0,0,,0.0,wordfreq,normal
AGIO,2,1,0.667,1.33,wordfreq,normal
AGIQ,0,0,,0.0,wordfreq,normal
AGIX,2,0,1.0,0.0,wordfreq,normal
AGMB,0,0,,0.0,wordfreq,normal
AGMH,0,0,,0.0,wordfreq,normal
AGMI,0,0,,0.0,wordfreq,normal
AGNC,29,1,0.967,0.0,case_ratio,normal
AGNCL,0,0,,0.0,wordfreq,normal
AGNCM,0,0,,0.0,wordfreq,normal
AGNCN,0,0,,0.0,wordfreq,normal
AGNCO,0,0,,0.0,wordfreq,normal
AGNCP,0,0,,0.0,wordfreq,normal
AGNCZ,0,0,,0.0,wordfreq,normal
AGNG,0,0,,0.0,wordfreq,normal
AGNT,0,0,,0.0,wordfreq,normal
AGOX,0,0,,0.0,wordfreq,normal
AGPU,0,0,,0.0,wordfreq,normal
AGQI,0,0,,0.0,wordfreq,normal
AGRH,0,0,,0.0,wordfreq,normal
AGRO,1,0,1.0,2.96,wordfreq,normal
AGRW,0,0,,0.0,wordfreq,normal
AGRZ,0,0,,0.0,wordfreq,normal
AGYS,4,0,1.0,0.0,wordfreq,normal
AGZD,0,0,,0.0,wordfreq,normal
AHCO,2,1,0.667,0.0,wordfreq,normal
AHLT,0,0,,0.0,wordfreq,normal
AHMA,2,1,0.667,0.0,wordfreq,normal
AHRT,0,0,,0.0,wordfreq,normal
AHYB,0,0,,0.0,wordfreq,normal
AIAI,0,0,,1.38,wordfreq,normal
AIBD,0,0,,0.0,wordfreq,normal
AIBU,0,0,,1.05,wordfreq,normal
AIBZ,0,0,,0.0,wordfreq,normal
AIDX,0,0,,0.0,wordfreq,normal
AIEQ,0,0,,0.0,wordfreq,normal
AIFA,0,0,,1.18,wordfreq,normal
AIFC,0,0,,0.0,wordfreq,normal
AIFD,0,0,,0.0,wordfreq,normal
AIFF,1,0,1.0,2.0,wordfreq,normal
AIFU,0,0,,0.0,wordfreq,normal
AIHS,3,0,1.0,0.0,wordfreq,normal
AIIA,0,0,,1.01,wordfreq,normal
AIIO,0,0,,0.0,wordfreq,normal
AIIOW,0,0,,0.0,wordfreq,normal
AIIR,0,0,,0.0,wordfreq,normal
AIMD,3,0,1.0,0.0,wordfreq,normal
AIMDW,0,0,,0.0,wordfreq,normal
AIMS,1,238,0.004,4.21,case_ratio,cashtag_only
AINP,0,0,,0.0,wordfreq,normal
AINT,31,52,0.373,3.34,case_ratio,cashtag_only
AIOO,0,0,,0.0,wordfreq,normal
AIOS,3,0,1.0,1.2,wordfreq,normal
AIOT,0,0,,0.0,wordfreq,normal
AIPI,0,1,0.0,0.0,wordfreq,normal
AIPO,0,0,,0.0,wordfreq,normal
AIQD,0,0,,0.0,wordfreq,normal
AIQU,1,0,1.0,0.0,wordfreq,normal
AIRE,8,2,0.8,2.62,wordfreq,normal
AIRG,0,0,,0.0,wordfreq,normal
AIRI,2,1,0.667,1.86,wordfreq,normal
AIRJ,0,0,,0.0,wordfreq,normal
AIRJW,0,0,,0.0,wordfreq,normal
AIRO,1,1,0.5,1.16,wordfreq,normal
AIRR,0,0,,0.0,wordfreq,normal
AIRS,0,6,0.0,3.51,wordfreq,cashtag_only
AIRT,3,0,1.0,1.29,wordfreq,normal
AIRTP,0,0,,0.0,wordfreq,normal
AISP,0,0,,0.0,wordfreq,normal
AISPW,0,0,,0.0,wordfreq,normal
AIUP,0,0,,0.0,wordfreq,normal
AIVC,0,0,,0.0,wordfreq,normal
AIVI,0,0,,0.0,wordfreq,normal
AIVL,0,0,,0.0,wordfreq,normal
AIXC,0,0,,0.0,wordfreq,normal
AIXI,7,0,1.0,0.0,wordfreq,normal
AIYY,0,0,,0.0,wordfreq,normal
AIZN,0,0,,0.0,wordfreq,normal
AJAN,0,0,,0.0,wordfreq,normal
AJUL,0,0,,0.0,wordfreq,normal
AKAF,0,0,,0.0,wordfreq,normal
AKAM,10,0,1.0,1.43,wordfreq,normal
AKAN,0,0,,2.45,wordfreq,normal
AKBA,10,1,0.909,0.0,wordfreq,normal
AKRE,0,1,0.0,1.1,wordfreq,normal
AKTS,9,0,1.0,0.0,wordfreq,normal
AKTX,1,0,1.0,0.0,wordfreq,normal
ALAB,1,0,1.0,1.6,wordfreq,normal
ALAI,0,0,,2.2,wordfreq,normal
ALAR,0,0,,1.95,wordfreq,normal
ALBG,0,0,,0.0,wordfreq,normal
ALBT,1,0,1.0,0.0,wordfreq,normal
ALCO,0,0,,2.17,wordfreq,normal
ALDB,0,0,,0.0,wordfreq,normal
ALDF,0,0,,0.0,wordfreq,normal
ALDFU,0,0,,0.0,wordfreq,normal
ALDFW,0,0,,0.0,wordfreq,normal
ALDX,2,0,1.0,0.0,wordfreq,normal
ALEC,27,2,0.931,3.65,wordfreq,cashtag_only
ALFUU,0,0,,0.0,wordfreq,normal
ALFUW,0,0,,0.0,wordfreq,normal
ALGM,1,0,1.0,0.0,wordfreq,normal
ALGN,8,0,1.0,0.0,wordfreq,normal
ALGS,0,0,,1.05,wordfreq,normal
ALGT,3,0,1.0,0.0,wordfreq,normal
ALHC,0,0,,0.0,wordfreq,normal
ALIL,0,0,,1.28,wordfreq,normal
ALIS,2,1,0.667,2.11,wordfreq,normal
ALISR,0,0,,0.0,wordfreq,normal
ALISU,0,0,,0.0,wordfreq,normal
ALIT,3,0,1.0,1.7,wordfreq,normal
ALKS,11,0,1.0,1.11,wordfreq,normal
ALKT,0,0,,0.0,wordfreq,normal
ALLE,2,6,0.25,2.81,wordfreq,normal
ALLO,0,1,0.0,2.73,wordfreq,normal
ALLR,1,0,1.0,0.0,wordfreq,normal
ALLT,5,1,0.833,1.89,wordfreq,normal
ALLW,2,0,1.0,0.0,wordfreq,normal
ALLY,26,676,0.037,4.1,case_ratio,cashtag_only
ALMR,0,0,,0.0,wordfreq,normal
ALMS,0,0,,2.89,wordfreq,normal
ALMU,1,0,1.0,0.0,wordfreq,normal
ALNT,0,0,,0.0,wordfreq,normal
ALNY,0,0,,0.0,wordfreq,normal
ALOT,16,336,0.045,3.93,case_ratio,cashtag_only
ALOV,0,0,,0.0,wordfreq,normal
ALOVU,0,0,,0.0,wordfreq,normal
ALOVW,0,0,,0.0,wordfreq,normal
ALOY,0,0,,1.94,wordfreq,normal
ALPS,2,2,0.5,3.56,wordfreq,cashtag_only
ALPXU,0,0,,0.0,wordfreq,normal
ALRG,0,0,,0.0,wordfreq,normal
ALRM,1,0,1.0,0.0,wordfreq,normal
ALRS,0,0,,0.0,wordfreq,normal
ALSN,2,0,1.0,0.0,wordfreq,normal
ALTG,0,0,,0.0,wordfreq,normal
ALTI,1,0,1.0,1.69,wordfreq,normal
ALTL,0,0,,0.0,wordfreq,normal
ALTO,3,18,0.143,3.47,wordfreq,normal
ALTY,0,1,0.0,1.36,wordfreq,normal
ALUB,0,0,,0.0,wordfreq,normal
ALVO,0,0,,1.28,wordfreq,normal
ALVOW,0,0,,0.0,wordfreq,normal
ALXO,0,0,,0.0,wordfreq,normal
ALZN,2,1,0.667,0.0,wordfreq,normal
AMAA,0,0,,1.49,wordfreq,normal
AMAL,0,0,,2.9,wordfreq,normal
AMAN,0,1,0.0,2.92,wordfreq,normal
AMAT,47,2,0.959,2.38,case_ratio,normal
AMAU,0,0,,0.0,wordfreq,normal
AMAX,0,0,,1.52,wordfreq,normal
AMBA,6,1,0.857,2.11,wordfreq,normal
AMBO,4,0,1.0,2.24,wordfreq,normal
AMBP,0,0,,0.0,wordfreq,normal
AMBQ,0,0,,0.0,wordfreq,normal
AMBR,0,0,,0.0,wordfreq,normal
AMCI,4,0,1.0,0.0,wordfreq,normal
AMCR,2,0,1.0,0.0,wordfreq,normal
AMCX,22,1,0.957,0.0,wordfreq,normal
AMDC,0,0,,0.0,wordfreq,normal
AMDD,0,0,,0.0,wordfreq,normal
AMDG,0,0,,1.04,wordfreq,normal
AMDL,0,0,,0.0,wordfreq,normal
AMDW,0,0,,0.0,wordfreq,normal
AMDY,0,0,,0.0,wordfreq,normal
AMEI,0,0,,1.2,wordfreq,normal
AMEM,0,1,0.0,0.0,wordfreq,normal
AMGN,24,0,1.0,0.0,wordfreq,normal
AMGR,0,0,,0.0,wordfreq,normal
AMHI,0,0,,0.0,wordfreq,normal
AMID,2,376,0.005,3.95,case_ratio,cashtag_only
AMIX,0,0,,0.0,wordfreq,normal
AMJB,0,0,,0.0,wordfreq,normal
AMKL,0,0,,0.0,wordfreq,normal
AMKR,0,0,,0.0,wordfreq,normal
AMLP,0,0,,0.0,wordfreq,normal
AMLX,1,0,1.0,0.0,wordfreq,normal
AMOD,0,0,,1.35,wordfreq,normal
AMODW,0,0,,0.0,wordfreq,normal
AMOM,1,0,1.0,0.0,wordfreq,normal
AMPG,3,0,1.0,0.0,wordfreq,normal
AMPGR,0,0,,0.0,wordfreq,normal
AMPGZ,0,0,,0.0,wordfreq,normal
AMPH,0,0,,1.27,wordfreq,normal
AMPL,8,2,0.8,1.36,wordfreq,normal
AMPU,0,0,,0.0,wordfreq,normal
AMPX,6,0,1.0,0.0,wordfreq,normal
AMPY,7,0,1.0,0.0,wordfreq,normal
AMRC,0,0,,1.38,wordfreq,normal
AMRN,34,0,1.0,0.0,case_ratio,normal
AMRX,3,0,1.0,0.0,wordfreq,normal
AMRZ,0,0,,0.0,wordfreq,normal
AMSC,11,0,1.0,1.25,wordfreq,normal
AMSF,0,0,,0.0,wordfreq,normal
AMSS,0,0,,0.0,wordfreq,normal
AMST,7,0,1.0,1.07,wordfreq,normal
AMTB,4,0,1.0,0.0,wordfreq,normal
AMTD,19,4,0.826,0.0,wordfreq,normal
AMTM,0,0,,0.0,wordfreq,normal
AMTX,5,2,0.714,0.0,wordfreq,normal
AMUB,0,0,,0.0,wordfreq,normal
AMUN,0,1,0.0,2.23,wordfreq,normal
AMUU,0,0,,0.0,wordfreq,normal
AMWL,6,1,0.857,0.0,wordfreq,normal
AMYY,0,0,,0.0,wordfreq,normal
AMZA,2,0,1.0,0.0,wordfreq,normal
AMZD,0,0,,0.0,wordfreq,normal
AMZE,3,1,0.75,0.0,wordfreq,normal
AMZN,640,37,0.945,2.22,case_ratio,normal
AMZO,0,0,,0.0,wordfreq,normal
AMZP,0,0,,0.0,wordfreq,normal
AMZU,0,1,0.0,0.0,wordfreq,normal
AMZW,0,0,,0.0,wordfreq,normal
AMZY,0,0,,0.0,wordfreq,normal
AMZZ,0,0,,0.0,wordfreq,normal
ANAB,0,1,0.0,1.22,wordfreq,normal
ANDE,0,0,,1.96,wordfreq,normal
ANDG,0,0,,0.0,wordfreq,normal
ANEL,0,0,,1.64,wordfreq,normal
ANET,16,1,0.941,1.97,wordfreq,normal
ANEW,0,10,0.0,3.2,wordfreq,normal
ANGH,0,0,,0.0,wordfreq,normal
ANGHW,0,0,,0.0,wordfreq,normal
ANGI,6,0,1.0,1.61,wordfreq,normal
